a52dec 0.7.4-11
aalib 1.4rc5-14
accerciser 3.38.0-2
accountsservice 0.6.55-3
acl 2.3.1-1
acorn 1:8.6.0-1
acpi 1.7-3
acpica 20210930-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
age 1.0.0-4
alacritty 0.9.0-2
alsa-card-profiles 1:0.3.40-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
aml 0.2.1-1
amtk 5.3.1-1
angrysearch 1.0.2-1
ansible 5.0.1-1
ansible-core 2.12.0-1
ansible-lint 5.2.1-1
ant-dracula-kde-theme-git v2.0.r65.g3a1d969-1
ant-dracula-kvantum-theme-git v2.0.r65.g3a1d969-1
antigen 2.2.3-2
aom 3.2.0-1
apache 2.4.51-2
appstream 0.15.0-1
appstream-glib 0.7.18-2
apr 1.7.0-3
apr-util 1.6.1-9
arandr 0.1.10-6
arch-install-scripts 24-2
arch-wiki-docs 20211116-1
arch-wiki-lite 20211116-1
arch-wiki-man 1.3.0-1
archey3 0.5-11
archlinux-artwork 1.6-6
archlinux-keyring 20211028-1
argon2 20190702-3
aribb24 1.0.3-3
asar 3.1.0-1
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
atop 2.6.0-3
attica 5.88.0-1
attr 2.5.1-1
audit 3.0.6-2
augeas 1.12.0-2
aurutils 3.2.1-1
autoconf 2.71-1
autoconf-archive 1:2021.02.19-2
automake 1.16.5-1
autopep8 1:1.6.0-1
autotiling 1.6-1
avahi 0.8+22+gfd482a7-1
awesome-terminal-fonts 1.1.0-4
azote-git 1.8.1.r8.g0f8ae39-2
babl 0.1.88-2
baobab 41.0-1
base 2-2
bash 5.1.012-1
bash-completion 2.11-2
bash-language-server 2.0.0-5
bat 0.18.3-1
bc 1.07.1-4
bdf-unifont 14.0.01-1
beautysh 6.2.1-1
bemenu 0.6.3-1
bemenu-ncurses 0.6.3-1
bind 9.16.23-1
binutils 2.36.1-3
bison 3.8.2-1
bitwarden 1.29.1-1
bitwarden-cli 1.19.1-1
bitwarden-rofi-git 0.4.r21.62c95af-1
blas 3.10.0-1
blueberry 1.4.4-1
bluetooth-autoconnect 1.3-1
bluez 5.62-1
bluez-hcitool 5.58-1
bluez-libs 5.62-1
bluez-tools 0.2.0-5
bluez-utils 5.62-1
bmake 20211001-1
bolt 0.9.1-1
bonnie++ 1.98-1
boost 1.76.0-2
boost-libs 1.76.0-2
borg 1.1.17-2
botan 2.18.2-1
box2d 2.4.1-1
breezy 3.2.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-4
btrfs-progs 5.15.1-1
bubblewrap 0.5.0-1
bukubrow 5.4.0-1
burpsuite 2021.10.3-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.73-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
cargo-make 0.35.6-2
catimg 2.7.0-1
cblas 3.10.0-1
ccache 4.4.2-1
ccat 1.1.0-4
ccid 1.4.36-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
celt 0.11.3-4
celt0.5.1 0.5.1.3-5
ceph-libs 15.2.14-2
cfitsio 1:4.0.0-1
chafa 1.8.0-1
check 0.15.2-2
cheese 41.1-1
chezmoi 2.9.1-1
chromaprint 1.5.0-3
chrome-gnome-shell 10.1-5
chromium 96.0.4664.45-2
chrono-date 3.0.1-1
chrpath 0.16-3
cifs-utils 6.14-1
clamav 0.104.1-1
clang 13.0.0-2
clinfo 3.0.21.02.21-1
clipman 1.6.1-1
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmake 3.22.0-1
cmark 0.30.2-1
cmark-gfm 0.29.0.gfm.0-2
cogl 1.22.8-1
colord 1.4.5-4
colord-gtk 0.2.0-2
colord-sane 1.4.5-4
compiler-rt 13.0.0-1
confuse 3.3-3
container-diff 0.17.0-1
containerd 1.5.8-1
cookcli-bin 0.0.12-1
copyq 5.0.0-1
coreutils 9.0-2
cowsay 3.04-2
cpio 2.13-2
cpupower 5.15-1
cracklib 2.9.7-2
crda 4.14-4
crictl 1.22.0-1
critest 1.22.0-1
cronie 1.5.7-2
cryptsetup 2.4.2-1
ctags 1:5.9.20210905.0-1
ctop 0.7.6-1
cups 1:2.4.0-4
cups-filters 1.28.10-2
cups-pk-helper 0.2.6-4
curl 7.80.0-1
cython 0.29.25-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
dconf-editor 3.38.3-1
desktop-file-utils 0.26-1
devhelp 41.2-3
device-mapper 2.03.14-2
devtools 20210202-3
dex 0.9.0-1
dhcpcd 9.4.0-1
dialog 1:1.3_20211107-1
diff-so-fancy 1.4.3-1
diffstat 1.64-1
diffutils 3.8-1
ding-libs 0.6.1-3
discord 0.0.16-1
djvulibre 3.5.28-3
dkms 3.0.2-1
dleyna-connector-dbus 0.4.1-1
dleyna-core 0.7.0-3
dleyna-renderer 0.7.2-1
dleyna-server 0.7.2-1
dmenu 5.0-1
dmenu-frecency-git r52.ed3102d-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:20.10.11-1
docker-compose 2.2.2-1
dolphin-emu 1:5.0.r15445.db02b50d2e-1
dos2unix 7.4.2-1
dosfstools 4.2-1
double-conversion 3.1.6-1
doxygen 1.9.2-1
dracula-gtk-theme v2.0-1
dstat 0.7.4-5
dtc 1.6.1-1
e2fsprogs 1.46.4-1
edk2-ovmf 202108-1
efibootmgr 17-2
efivar 37-4
electron 16.0.4-1
electron13 13.6.3-1
electron14 14.2.2-1
elfutils 0.186-1
enchant 2.3.1-2
enet 1.3.17-1
